Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2016 Honda Cr-v Exl,$ 11 700 USD,1,2HKRM4H75GH634440,92 922 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Бирюзовый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 9 048 USD,$ 18 275 USD,TX - CERTIFICATE OF TITLE,Град,Град,,
2017 Nissan Altima 2.5,$ 3 850 USD,1,1N4AL3AP6HC491859,85 413 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, OKLAHOMA"",$ 15 163 USD,$ 14 650 USD,OK - CERT OF TITLE-SALVAGE,Град,Град,,
2006 Honda Civic Lx,$ 425 USD,1,1HGFA16566L014168,294 868 mi,14.05.2024 17:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 2 742 USD,$ 6 025 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,,
2016 Subaru Forester 2.5i,$ 3 400 USD,1,JF2SJABC4GH522405,136 072 mi(подтвержден),14.05.2024 18:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 6 788 USD,$ 12 575 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2019 Subaru Forester Sport,$ 8 200 USD,1,JF2SKAKC7KH577971,59 513 mi(подтвержден),14.05.2024 19:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 22 325 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны,
2020 Lincoln Corsair Reserve,$ 6 900 USD,2,5LMCJ2DH8LUL04592,51 150 mi(подтвержден),14.05.2024 17:00 UTC,2.3l 4,Бордовый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HAM LAKE, MINNESOTA"",$ 29 845 USD,$ 29 125 USD,MN - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2023 Tesla Model Y,$ 12 800 USD,1,7SAYGAEE4PF943242,2 890 mi(подтвержден),14.05.2024 16:00 UTC,,Серый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,заводится и едет,""MARLBORO, NEW YORK"",$ 27 438 USD,$ 41 175 USD,NY - MV-907A SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны,
2016 Ford Escape Titanium,$ 3 550 USD,1,1FMCU0J91GUC57262,71 666 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 11 184 USD,$ 11 275 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2020 Honda Pilot Ex,$ 14 900 USD,1,5FNYF6H35LB032175,57 026 mi,14.05.2024 18:00 UTC,3.5l 6,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 22 143 USD,$ 28 000 USD,CO - CERTIFICATE OF TITLE,Град,Град,,
2016 Subaru Crosstrek Premium,$ 2 650 USD,1,JF2GPADC9G8218505,80 861 mi(подтвержден),14.05.2024 18:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HELENA, MONTANA"",$ 16 051 USD,$ 16 625 USD,MT - SALVAGE CERTIFICATE OF A VEHIC,Столкновение,Повреждение стороны,Повреждение ходовой части,
2019 Toyota Prius,$ 4 550 USD,1,JTDL9RFU4K3009108,136 635 mi(подтвержден),14.05.2024 17:00 UTC,1.8l 4,Красный,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 15 021 USD,$ 21 850 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2019 Bmw Alpina B7,$ 25 250 USD,1,WBA7F2C17KB242401,,14.05.2024 17:00 UTC,4.4l 8,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 47 729 USD,$ 0 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,,
2020 Nissan Leaf S Plus,$ 7 800 CAD,1,1N4BZ1BP1LC305613,92 869 mi(подтвержден),14.05.2024 18:00 UTC,,Белый,Автоматическая,Электричество,передний привод,Ключи присутствуют,заводится и едет,""ROCKY VIEW COUNTY, ALBERTA"",$ 16 328 CAD,$ 0 CAD,AB - BOS - SALVAGE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,
2019 Tesla Model 3,$ 5 800 USD,1,5YJ3E1EA4KF484006,51 349 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,задний привод,,улучшенные транспортные средства,""MARLBORO, NEW YORK"",$ 25 870 USD,$ 25 975 USD,NY - MV-907A SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,
