Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2020 Hyundai Elantra Sel,$ 1 400 USD,1,5NPD84LF2LH520225,25 658 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 21 047 USD,$ 19 625 USD,NV - SALVAGE TITLE,Неизвестно,Повсюду,,
2017 Chevrolet Trax 1lt,$ 850 USD,1,3GNCJLSB1HL222546,137 529 mi(подтвержден),15.05.2024 19:00 UTC,1.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""PORTLAND, OREGON"",$ 10 323 USD,$ 9 950 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение рамы,,
2008 Toyota Scion Tc,$ 325 USD,1,JTKDE167580247337,,15.05.2024 19:00 UTC,2.4l 4,Темно-бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 6 470 USD,$ 5 300 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение передней части,,
2006 Dodge Ram 3500,$ 6 200 USD,1,3D7LX39C66G271744,218 770 mi,15.05.2024 19:00 UTC,5.9l 6,Серебряный,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 0 USD,$ 15 475 USD,OR - SALVAGE TITLE CERTIFICATE,Кража,Повреждение ходовой части,пикап экипажа,Вандализм
2024 Kia Soul Lx,$ 8 500 USD,1,KNDJ23AUXR7230134,3 142 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WOODHAVEN, IOWA"",$ 0 USD,$ 0 USD,IA - CERTIFICATE OF TITLE (P),Аренда,Повреждение задней части,,Повреждение стороны
2023 Toyota Corolla Le,$ 7 500 USD,1,5YFB4MDE1PP044406,23 306 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WOODHAVEN, MINNESOTA"",$ 0 USD,$ 23 750 USD,MN - CERTIFICATE OF TITLE (P),Аренда,Повреждение передней части,,
2022 Toyota Rav4 Xle,$ 18 000 USD,1,2T3P1RFV1NW280968,42 352 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""WOODHAVEN, NEW YORK"",$ 0 USD,$ 30 550 USD,NY - CERTIFICATE OF TITLE (P),Аренда,Повреждение задней части,,
2011 Honda Odyssey Exl,$ 2 250 USD,3,5FNRL5H61BB103680,139 467 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, CALIFORNIA"",$ 0 USD,$ 8 475 USD,CA - SALVAGE CERTIFICATE,Дилерские услуги Copart,Повсюду,спортивная версия,
2023 Gmc Sierra K2500 At4,$ 22 000 USD,1,1GT49PEY6PF106183,43 096 mi(подтвержден),15.05.2024 17:00 UTC,6.6l 8,Синий,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 52 403 USD,$ 67 000 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Повреждение стороны
2022 Freightliner Cascadia 126,$ 15 USD,3,3AKJHHDR9NSMY3074,,15.05.2024 19:00 UTC,14.8l 6,Пожар,Автоматическая,Дизель,задний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, CALIFORNIA"",$ 157 001 USD,$ 0 USD,CA - NON-REPAIRABLE VEHICLE CERT,Пожар,Пожар,,
2022 Nissan Altima Sl,$ 10 300 USD,1,1N4BL4EV5NN402978,53 045 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, CALIFORNIA"",$ 0 USD,$ 28 275 USD,CA - CERTIFICATE OF TITLE,Аренда,Повсюду,,
2004 Toyota Camry Le,$ 250 USD,1,4T1BF32K84U581572,167 602 mi,15.05.2024 19:00 UTC,3.0l 6,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 8 847 USD,$ 50 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,Повреждение передней части
2005 Honda Cr-v Lx,$ 1 750 USD,1,JHLRD78505C022819,214 354 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 6 350 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение задней части
2023 Chevrolet Malibu Lt,$ 1 350 USD,2,1G1ZD5ST2PF251781,12 148 mi(подтвержден),15.05.2024 19:00 UTC,1.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""NORTH LAS VEGAS, MISSOURI"",$ 43 801 USD,$ 23 175 USD,MO - JUNKING CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2004 Gmc C7500 C7c042,$ 4 300 USD,3,1GDJ7C1364F521975,,15.05.2024 19:00 UTC,6,Белый,Автоматическая,Дизель,задний привод,Ключи присутствуют,,""NORTH LAS VEGAS, NEVADA"",$ 1 988 USD,$ 0 USD,NV - SALVAGE TITLE,Кража,Механическое повреждение,обычная кабина,Повреждение передней части
2024 Ford Mustang,$ 11 400 USD,1,1FA6P8TH5R5106875,15 506 mi(подтвержден),15.05.2024 19:00 UTC,2.3l 4,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 0 USD,NV - SALVAGE TITLE,Аренда,Повреждение передней части,,
2009 Chevrolet Hhr Ls,$ 225 USD,1,3GNCA13BX9S600096,130 728 mi(подтвержден),15.05.2024 19:00 UTC,2.2l 4,Синий,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 5 304 USD,$ 5 513 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2020 Gmc Terrain Slt,$ 5 600 USD,1,3GKALPEV3LL106821,71 101 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 22 200 USD,LA - CERTIFICATE OF DESTRUCTION,Вода/Наводнение,Вода/Наводнение,,
2017 Nissan Rogue Sv Hybrid,$ 5 300 USD,1,5N1ET2MT4HC777056,34 795 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 14 350 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2018 Chevrolet Camaro Zl1,$ 3 500 USD,1,1G1FJ1R65J0144982,,15.05.2024 19:00 UTC,6.2l 8,Красный,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, CALIFORNIA"",$ 0 USD,$ 52 975 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Разукомплектовано
2013 Honda Accord Exl,$ 2 850 USD,3,1HGCR2F86DA008634,164 649 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 9 267 USD,$ 11 550 USD,AZ - CERT OF TITLE - SALVAGE,Материальный ущерб,Повреждение передней части,,
2018 Harley-davidson Xg500,$ 275 USD,1,1HD4NAA10JC509018,,15.05.2024 19:00 UTC,2,Синий,,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 5 900 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,,
2019 Honda Civic Lx,$ 2 700 USD,3,19XFC2F68KE215242,88 072 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 16 098 USD,$ 16 450 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение стороны
2023 Nissan Rogue S,$ 12 100 USD,1,5N1BT3AA0PC947505,8 662 mi(подтвержден),15.05.2024 16:00 UTC,1.5l 3,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOMESTEAD, FLORIDA"",$ 0 USD,$ 25 550 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение передней части,,Повреждение стороны
2001 Chevrolet Express G2500,$ 600 USD,1,1GCGG29R911193042,184 117 mi,15.05.2024 19:00 UTC,5.7l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 4 448 USD,$ 5 338 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение задней части,,
2019 Hyundai Sonata Se,$ 2 400 USD,1,5NPE24AF6KH767867,63 461 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 12 549 USD,$ 15 325 USD,NV - SALVAGE TITLE,Кража,Повреждение передней части,,Повреждение стороны
2014 Chevrolet Impala Ltz,$ 4 050 USD,1,2G1155S30E9269132,59 008 mi(подтвержден),15.05.2024 17:00 UTC,3.6l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 11 443 USD,$ 11 500 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2017 Mazda 3 Touring,$ 4 600 USD,1,JM1BN1L70H1103563,78 401 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 12 060 USD,$ 14 525 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2008 Jeep Patriot Sport,$ 425 USD,1,1J8FT28W18D554165,212 947 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 5 664 USD,$ 4 988 USD,CA - SALVAGE CERTIFICATE,Материальный ущерб,Повреждение передней части,,Повреждение стороны
2006 Ford Econoline E450 Super Duty Commercial Stripped Chassis,$ 4 400 USD,1,1FCLE49L86DA31131,,15.05.2024 17:00 UTC,5.4l 8,Белый,Автоматическая,Бензин,задний привод,,,""LEBANON, TENNESSEE"",$ 29 701 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Пожар,Пожар,неполный,
2016 Kia Optima Lx,$ 975 USD,1,5XXGT4L3XGG115720,106 672 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Бордовый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 9 223 USD,$ 9 625 USD,CA - SALVAGE CERTIFICATE,Кража,Разукомплектовано,4-дверный седан,Повреждение передней части
2015 Kia Optima Lx,$ 1 500 USD,1,KNAGM4A75F5647055,75 623 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 8 693 USD,$ 8 450 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
