Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2007 Saab 9-3 2.0t,$ 950 USD,1,YS3FD79Y476107696,147 005 mi(подтвержден),16.05.2024 19:00 UTC,2.0l 4,кабриолет,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 3 500 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2007 Lexus Ls 460,$ 1 400 USD,1,JTHBL46F875009978,147 190 mi(подтвержден),16.05.2024 19:00 UTC,4.6l 8,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 9 541 USD,$ 10 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,
2006 Chevrolet Silverado C1500,$ 3 050 USD,1,2GCEC13V061326419,151 917 mi(подтвержден),16.05.2024 19:00 UTC,4.8l 8,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""RANCHO CUCAMONGA, CALIFORNIA"",$ 7 349 USD,$ 6 625 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение ходовой части,
2007 Honda Civic Ex,$ 200 USD,1,2HGFG128X7H501533,284 410 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Серебряный,Автоматическая,Бензин,передний привод,,,""RANCHO CUCAMONGA, CALIFORNIA"",$ 7 864 USD,$ 6 850 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части
2021 Freightliner M2 106 Medium Duty,$ 16 600 USD,1,3ALACWFC0MDLL4126,25 894 mi(подтвержден),16.05.2024 16:00 UTC,6.7l 6,,Белый,Автоматическая,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAHAM, WASHINGTON"",$ 56 124 USD,$ 62 075 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,Повреждение стороны
2008 Infiniti G37 Base,$ 125 USD,1,JNKCV64EX8M103016,,16.05.2024 19:00 UTC,3.7l 6,купе,Угольный,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 8 042 USD,$ 7 850 USD,CA - SALVAGE CERTIFICATE,Столкновение,Разукомплектовано,Повреждение ходовой части
2008 Audi A4 2.0t Quattro,$ 500 USD,1,WAUDF78E58A002516,162 479 mi(подтвержден),16.05.2024 19:00 UTC,2.0l 4,,Синий,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 3 355 USD,$ 4 325 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2007 Jeep Wrangler X,$ 3 650 USD,1,1J4FA24147L159676,188 185 mi(подтвержден),16.05.2024 14:00 UTC,3.8l 6,,Зеленый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""CARTERSVILLE, GEORGIA"",$ 6 573 USD,$ 8 700 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2000 Chevrolet Malibu,$ 50 USD,1,1G1ND52J4Y6215170,,16.05.2024 19:00 UTC,3.1l 6,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""RENO, NEVADA"",$ 8 197 USD,$ 1 475 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение передней части,Повреждение задней части
2009 Chrysler Town & Country Lx,$ 375 USD,1,2A8HR44E89R571138,121 654 mi,16.05.2024 19:00 UTC,3.3l 6,,Черный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 6 054 USD,$ 3 750 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение передней части,
