Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2016 Infiniti Q70 3.7,$ 4 050 USD,2,JN1BY1AP0GM220943,60 721 mi,13.05.2024 14:00 UTC,3.7l 6,4-дверный седан,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 17 001 USD,$ 22 625 USD,NY - MV907A-PARTS ONLY,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,,BROOKHAVEN,NEW YORK
2009 Toyota Camry Base,$ 1 850 USD,1,4T1BE46K69U917262,112 349 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Бирюзовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 080 USD,$ 8 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,SACRAMENTO,CALIFORNIA
2012 Ford Fusion Se,$ 525 USD,1,3FAHP0HA7CR195200,159 776 mi(подтвержден),13.05.2024 14:00 UTC,2.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 6 000 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,BARBERTON,OHIO
2014 Chevrolet Traverse Lt,$ 2 400 USD,1,1GNKVGKD5EJ332317,113 717 mi(подтвержден),13.05.2024 18:00 UTC,3.6l 6,,Красный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 8 565 USD,$ 8 800 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,LITTLETON,COLORADO
2018 Chevrolet Equinox Lt,$ 4 650 USD,1,2GNAXJEV5J6314088,48 186 mi(подтвержден),13.05.2024 14:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 11 088 USD,$ 15 450 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,,Автоматическая,JACKSONVILLE,FLORIDA
2022 Chevrolet Malibu Lt,$ 9 400 USD,1,1G1ZD5ST0NF132317,34 682 mi(подтвержден),13.05.2024 16:00 UTC,1.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 880 USD,$ 21 750 USD,RI - DEALER ONLY CLEAN TITLE,Столкновение,Повреждение передней части,Отказ в ремонте,Автоматическая,MOCKSVILLE,RHODE ISLAND
2003 Nissan Maxima Gle,$ 300 USD,1,JN1DA31D33T513671,181 420 mi,13.05.2024 18:00 UTC,3.5l 6,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 7 000 USD,$ 4 025 USD,UT - SALVAGE CERTIFICATE,Пожар,Пожар в салоне,,Автоматическая,FARR WEST,UTAH
2012 Mercedes-benz C 250,$ 1 200 USD,1,WDDGF4HB0CR199583,81 954 mi,13.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 9 786 USD,$ 5 625 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS,NEVADA
1998 Honda Accord Ex,$ 300 USD,1,1HGCG2254WA010919,327 468 mi,13.05.2024 14:00 UTC,3.0l 6,,Зеленый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 4 585 USD,$ 0 USD,NC - SALVAGE CERTIFICATE OF TITLE,Материальный ущерб,Повреждение передней части,,Автоматическая,LUMBERTON,NORTH CAROLINA
2020 Bmw X6 Sdrive 40i,$ 33 500 USD,1,5UXCY4C04L9C76899,39 964 mi(подтвержден),13.05.2024 14:00 UTC,3.0l 6,,Черный,Бензин,задний привод,Ключи присутствуют,двигатель запускается,$ 22 458 USD,$ 48 825 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,Автоматическая,LOGANVILLE,GEORGIA
2008 Volkswagen Rabbit,$ 350 USD,1,WVWAA71K08W108573,213 129 mi(подтвержден),13.05.2024 14:00 UTC,2.5l 5,,Черный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 3 008 USD,$ 5 650 USD,PA - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Механическая,LEROY,PENNSYLVANIA
2016 Ford Explorer Xlt,$ 8 000 USD,1,1FM5K8D82GGD34753,75 240 mi(подтвержден),13.05.2024 14:00 UTC,3.5l 6,,Красный,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,$ 15 019 USD,$ 14 400 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,Повреждение задней части,Автоматическая,SAVANNAH,GEORGIA
2019 Lexus Rx 350 Base,$ 17 600 USD,1,2T2BZMCAXKC198164,29 119 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 32 050 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,MARTINEZ,CALIFORNIA
2017 Volkswagen Jetta S,$ 1 750 USD,1,3VW2B7AJ9HM318675,133 804 mi(подтвержден),13.05.2024 17:00 UTC,1.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 8 675 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,WICHITA,KANSAS
2008 Chevrolet Colorado Lt,$ 2 500 USD,1,1GCCS33E988227359,152 434 mi(подтвержден),13.05.2024 19:15 UTC,3.7l 5,,Угольный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 8 200 USD,AZ - CERTIFICATE OF TITLE,Дилерские услуги Copart,Нормальный износ,,Автоматическая,TUCSON,ARIZONA
